t,x,y,,,
0.00000,0.00608,0.00000,,,
0.03333,0.03095,0.00231,,,
0.06667,0.05641,0.00521,,,
0.10000,0.07898,0.01099,,,
0.13333,0.10154,0.01620,,,
0.16667,0.11774,0.02314,,,
0.20000,0.13684,0.03009,,,
0.23333,0.15130,0.03819,,,
0.26667,0.16403,0.04687,,,
0.30000,0.17445,0.05207,,,
0.33333,0.18081,0.05728,,,
0.36667,0.18775,0.06075,,,
0.40000,0.19180,0.06307,,,
0.43333,0.19527,0.06596,,,
0.46667,0.19354,0.06480,,,
0.50000,0.19122,0.06307,,,
0.53333,0.18486,0.06017,,,
0.56667,0.17734,0.05439,,,
0.60000,0.16750,0.04860,,,
0.63333,0.15651,0.04282,,,
0.66667,0.14204,0.03472,,,
0.70000,0.12527,0.02604,,,
0.73333,0.10617,0.02025,,,
0.76667,0.08708,0.01215,,,
0.80000,0.06451,0.00694,,,
0.83333,0.03963,0.00289,,,
0.86667,0.01591,0.00058,,,
0.90000,-0.00897,0.00000,,,
0.93333,-0.03038,0.00231,,,
0.96667,-0.05526,0.00521,,,
1.00000,-0.07898,0.00752,,,
1.03333,-0.09865,0.01331,,,
1.06667,-0.11601,0.01909,,,
1.10000,-0.13279,0.02604,,,
1.13333,-0.14725,0.03356,,,
1.16667,-0.15998,0.03934,,,
1.20000,-0.17097,0.04629,,,
1.23333,-0.18081,0.05034,,,
1.26667,-0.18428,0.05323,,,
1.30000,-0.18833,0.05554,,,
1.33333,-0.18833,0.05554,,,
1.36667,-0.18544,0.05554,,,
1.40000,-0.18370,0.05207,,,
1.43333,-0.17560,0.04860,,,
1.46667,-0.16808,0.04455,,,
1.50000,-0.15709,0.03934,,,
1.53333,-0.14609,0.03356,,,
1.56667,-0.13221,0.02546,,,
1.60000,-0.11485,0.01967,,,
1.63333,-0.09634,0.01389,,,
1.66667,-0.07666,0.00868,,,
1.70000,-0.05699,0.00405,,,
1.73333,-0.03443,0.00231,,,
1.76667,-0.00665,0.00058,,,
1.80000,0.01475,-0.00058,,,
