time,distance,force
0,0.365,-23.3
0.03,0.368,-23.9
0.06,0.378,-24.7
0.09,0.383,-25.5
0.12,0.392,-26.2
0.15,0.396,-26.7
0.18,0.401,-27
0.21,0.402,-27
0.24,0.403,-26.8
0.27,0.4,-26.3
0.3,0.398,-25.7
0.33,0.394,-24.9
0.36,0.386,-24.1
0.39,0.381,-23.4
0.42,0.373,-22.8
0.45,0.369,-22.4
0.48,0.366,-22.3
0.51,0.365,-22.4
0.54,0.366,-22.7
0.57,0.37,-23.3
0.6,0.373,-24
0.63,0.377,-24.8
0.66,0.386,-25.6
0.69,0.391,-26.2
0.72,0.398,-26.7
0.75,0.401,-27
0.78,0.403,-27.1
0.81,0.403,-26.8
0.84,0.401,-26.3
0.87,0.398,-25.6
0.9,0.392,-24.8
0.93,0.383,-24.1
0.96,0.379,-23.4
0.99,0.37,-22.7
1.02,0.367,-22.5
1.05,0.364,-22.3
1.08,0.364,-22.5
1.11,0.367,-22.8
1.14,0.368,-23.5
1.17,0.375,-24.2
1.2,0.379,-25
1.23,0.389,-25.7
1.26,0.393,-26.4
1.29,0.4,-26.9
1.32,0.402,-27.1
1.35,0.403,-27.1
1.38,0.402,-26.7
1.41,0.398,-26.2
1.44,0.396,-25.5
1.47,0.389,-24.7
1.5,0.384,-23.9
1.53,0.375,-23.3
1.56,0.371,-22.7
1.59,0.366,-22.4
1.62,0.364,-22.3
1.65,0.365,-22.5
1.68,0.366,-22.9
1.71,0.371,-23.6
1.74,0.374,-24.3
1.77,0.383,-25.1
1.8,0.387,-25.9
1.83,0.395,-26.5
1.86,0.399,-26.9
1.89,0.403,-27.1
1.92,0.404,-27
1.95,0.402,-26.7
1.98,0.4,-26.1
2.01,0.394,-25.4
2.04,0.39,-24.5
2.07,0.381,-23.8
2.1,0.377,-23.2
2.13,0.369,-22.6
2.16,0.366,-22.4
2.19,0.364,-22.3
2.22,0.364,-22.6
2.25,0.367,-23
2.28,0.37,-23.7
2.31,0.376,-24.5
2.34,0.38,-25.3
2.37,0.39,-26
2.4,0.394,-26.5
2.43,0.401,-27
2.46,0.403,-27.2
2.49,0.403,-27
2.52,0.401,-26.6
2.55,0.397,-26.1
2.58,0.394,-25.4
2.61,0.386,-24.5
2.64,0.382,-23.8
2.67,0.374,-23.1
2.7,0.37,-22.6
2.73,0.364,-22.4
2.76,0.364,-22.4
2.79,0.365,-22.6
2.82,0.367,-23.1
2.85,0.372,-23.8
2.88,0.376,-24.5
2.91,0.384,-25.4
2.94,0.389,-26.1
2.97,0.397,-26.6
3,0.4,-27
3.03,0.403,-27.2
3.06,0.403,-27
3.09,0.401,-26.6
3.12,0.398,-26
3.15,0.392,-25.2
3.18,0.388,-24.4
3.21,0.38,-23.7
3.24,0.375,-23
3.27,0.368,-22.6
3.3,0.366,-22.4
3.33,0.364,-22.4
3.36,0.364,-22.7
3.39,0.369,-23.2
3.42,0.372,-23.9
3.45,0.379,-24.7
3.48,0.382,-25.5
3.51,0.391,-26.2
3.54,0.395,-26.7
3.57,0.401,-27.1
3.6,0.403,-27.1
3.63,0.403,-26.9
3.66,0.401,-26.5
3.69,0.396,-25.9
3.72,0.392,-25.1
3.75,0.385,-24.4
3.78,0.381,-23.6
3.81,0.373,-23
3.84,0.369,-22.6
3.87,0.364,-22.3
3.9,0.363,-22.5
3.93,0.365,-22.8
3.96,0.368,-23.3
3.99,0.374,-24
4.02,0.377,-24.8
4.05,0.385,-25.6
4.08,0.39,-26.2
4.11,0.398,-26.7
4.14,0.401,-27
4.17,0.404,-27.1
4.2,0.403,-26.8
4.23,0.401,-26.4
4.26,0.398,-25.7
4.29,0.39,-24.9
4.32,0.386,-24.2
4.35,0.378,-23.5
4.38,0.374,-22.9
4.41,0.367,-22.5
4.44,0.366,-22.4
4.47,0.364,-22.5
4.5,0.365,-22.8
4.53,0.369,-23.5
4.56,0.373,-24.2
4.59,0.381,-24.9
4.62,0.385,-25.7
4.65,0.393,-26.3
4.68,0.397,-26.8
4.71,0.402,-27.1
4.74,0.403,-27.1
4.77,0.403,-26.8
4.8,0.401,-26.3
4.83,0.394,-25.6
4.86,0.39,-24.9
4.89,0.383,-24.1
4.92,0.379,-23.4
4.95,0.371,-22.8
4.98,0.368,-22.5
5.01,0.364,-22.4
5.04,0.363,-22.6
5.07,0.366,-23
5.1,0.369,-23.6
5.13,0.376,-24.3
5.16,0.38,-25
5.19,0.388,-25.8
5.22,0.392,-26.4
5.25,0.399,-26.9
5.28,0.402,-27.1
5.31,0.404,-27.1
5.34,0.403,-26.7
5.37,0.399,-26.2
5.4,0.396,-25.5
5.43,0.389,-24.7
5.46,0.385,-23.9
5.49,0.377,-23.3
5.52,0.373,-22.7
5.55,0.367,-22.5
5.58,0.365,-22.3
5.61,0.365,-22.6
5.64,0.367,-23
5.67,0.372,-23.7
5.7,0.375,-24.4
5.73,0.384,-25.2
5.76,0.388,-25.9
5.79,0.395,-26.5
5.82,0.398,-26.9
5.85,0.403,-27.1
5.88,0.404,-27
5.91,0.402,-26.6
5.94,0.4,-26.1
5.97,0.393,-25.4
6,0.389,-24.6
6.03,0.381,-23.8
6.06,0.377,-23.2
6.09,0.37,-22.7
6.12,0.367,-22.4
6.15,0.364,-22.4
6.18,0.364,-22.6
6.21,0.367,-23.1
6.24,0.37,-23.8
6.27,0.378,-24.5
6.3,0.382,-25.3
6.33,0.39,-26.1
6.36,0.394,-26.6
6.39,0.4,-27
6.42,0.402,-27.1
6.45,0.404,-26.9
6.48,0.403,-26.5
6.51,0.398,-25.9
6.54,0.395,-25.3
6.57,0.386,-24.5
6.6,0.382,-23.7
6.63,0.375,-23.1
6.66,0.371,-22.6
6.69,0.366,-22.5
6.72,0.365,-22.4
6.75,0.366,-22.7
6.78,0.367,-23.2
6.81,0.373,-23.9
6.84,0.377,-24.6
6.87,0.385,-25.5
6.9,0.39,-26.1
6.93,0.397,-26.7
6.96,0.4,-27
6.99,0.403,-27.1
7.02,0.404,-26.9
7.05,0.402,-26.5
7.08,0.399,-25.9
7.11,0.392,-25.1
7.14,0.388,-24.4
7.17,0.379,-23.6
7.2,0.375,-23
7.23,0.369,-22.6
7.26,0.367,-22.4
7.29,0.364,-22.5
7.32,0.364,-22.8
7.35,0.368,-23.3
7.38,0.372,-24.1
7.41,0.38,-24.8
7.44,0.384,-25.5
7.47,0.392,-26.2
7.5,0.395,-26.8
7.53,0.401,-27.1
7.56,0.402,-27.1
7.59,0.403,-26.9
7.62,0.402,-26.4
7.65,0.397,-25.8
7.68,0.393,-25
7.71,0.384,-24.2
7.74,0.38,-23.6
7.77,0.373,-22.9
7.8,0.37,-22.5
7.83,0.366,-22.3
7.86,0.365,-22.5
7.89,0.366,-22.8
7.92,0.368,-23.4
7.95,0.375,-24.1
7.98,0.379,-24.9
8.01,0.388,-25.6
8.04,0.392,-26.3
8.07,0.398,-26.8
8.1,0.401,-27.1
8.13,0.404,-27
8.16,0.403,-26.8
8.19,0.401,-26.4
8.22,0.398,-25.6
8.25,0.39,-24.9
8.28,0.386,-24.1
8.31,0.377,-23.4
8.34,0.374,-22.8
8.37,0.368,-22.5
8.4,0.366,-22.4
8.43,0.365,-22.5
8.46,0.365,-22.9
8.49,0.37,-23.5
8.52,0.373,-24.2
8.55,0.382,-25
8.58,0.386,-25.7
8.61,0.394,-26.4
8.64,0.397,-26.8
8.67,0.401,-27.1
8.7,0.403,-27.1
8.73,0.402,-26.8
8.76,0.401,-26.2
8.79,0.395,-25.6
8.82,0.391,-24.7
8.85,0.382,-24
8.88,0.378,-23.4
8.91,0.371,-22.8
8.94,0.368,-22.5
8.97,0.365,-22.4
9,0.365,-22.6
9.03,0.367,-23
9.06,0.369,-23.6
9.09,0.376,-24.4
9.12,0.381,-25.1
9.15,0.389,-25.9
9.18,0.393,-26.4
9.21,0.4,-26.9
9.24,0.402,-27.1
9.27,0.403,-27
9.3,0.403,-26.6
9.33,0.399,-26.1
9.36,0.396,-25.5
9.39,0.389,-24.7
