t,x,y,,
0.00000,-0.09573,-0.00089,,
0.06667,-0.09187,-0.00208,,
0.13333,-0.07999,-0.00445,,
0.20000,-0.06129,-0.00653,,
0.26667,-0.03636,-0.00980,,
0.33333,-0.00787,-0.01158,,
0.40000,0.02033,-0.01069,,
0.46667,0.04883,-0.00890,,
0.53333,0.07287,-0.00564,,
0.60000,0.09187,-0.00148,,
0.66667,0.10226,0.00089,,
0.73333,0.10603,0.00054,,
0.80000,0.09837,-0.00046,,
0.86667,0.08371,-0.00279,,
0.93333,0.06105,-0.00612,,
1.00000,0.03440,-0.00879,,
1.06667,0.00475,-0.01012,,
1.13333,-0.02557,-0.01012,,
1.20000,-0.05223,-0.00879,,
1.26667,-0.07388,-0.00446,,
1.33333,-0.08888,-0.00246,,
1.40000,-0.09621,-0.00146,,
