time,distance,force,,
0,0.502,-30.1,,
0.03,0.502,-29.9,,
0.06,0.498,-29.3,,
0.09,0.494,-28.3,,
0.12,0.481,-26.8,,
0.15,0.473,-25.1,,
0.18,0.454,-23.4,,
0.21,0.446,-21.9,,
0.24,0.429,-20.6,,
0.27,0.421,-19.8,,
0.3,0.413,-19.5,,
0.33,0.413,-19.8,,
0.36,0.418,-20.7,,
0.39,0.423,-22,,
0.42,0.438,-23.6,,
0.45,0.447,-25.3,,
0.48,0.464,-27,,
0.51,0.473,-28.3,,
0.54,0.488,-29.4,,
0.57,0.492,-29.9,,
0.6,0.498,-29.8,,
0.63,0.498,-29.2,,
0.66,0.491,-28.1,,
0.69,0.485,-26.6,,
0.72,0.468,-24.9,,
0.75,0.459,-23.3,,
0.78,0.439,-21.7,,
0.81,0.43,-20.5,,
0.84,0.418,-19.8,,
0.87,0.415,-19.7,,
0.9,0.415,-20,,
0.93,0.418,-20.9,,
0.96,0.428,-22.2,,
0.99,0.436,-23.9,,
1.02,0.453,-25.6,,
1.05,0.462,-27.2,,
1.08,0.48,-28.5,,
1.11,0.487,-29.5,,
1.14,0.497,-29.9,,
1.17,0.499,-29.8,,
1.2,0.496,-29.1,,
1.23,0.491,-28,,
1.26,0.478,-26.4,,
1.29,0.47,-24.7,,
1.32,0.453,-23,,
1.35,0.444,-21.6,,
1.38,0.428,-20.4,,
1.41,0.422,-19.8,,
1.44,0.415,-19.7,,
1.47,0.414,-20.1,,
1.5,0.42,-21.1,,
1.53,0.426,-22.6,,
1.56,0.442,-24.1,,
1.59,0.451,-25.8,,
1.62,0.469,-27.4,,
1.65,0.477,-28.7,,
1.68,0.492,-29.5,,
1.71,0.496,-29.8,,
1.74,0.499,-29.6,,
1.77,0.497,-28.9,,
1.8,0.488,-27.7,,
1.83,0.48,-26.1,,
1.86,0.463,-24.5,,
1.89,0.454,-22.8,,
1.92,0.436,-21.5,,
1.95,0.427,-20.3,,
1.98,0.418,-19.8,,
2.01,0.416,-19.8,,
2.04,0.416,-20.3,,
2.07,0.419,-21.3,,
